bin_center,count,density
-1000000,17,0.017340751426773843
-999000,16,0.016988865598544834
-998000,16,0.016847959566693414
-997000,17,0.017021715678771747
-996000,17,0.017559325497583617
-995000,18,0.01844065404258324
-994000,19,0.01957780863553854
-993000,20,0.02083285140101529
-992000,22,0.022047457637697398
-991000,23,0.023077407799234326
-990000,23,0.023823621878187817
-989000,24,0.02425229005956937
-988000,24,0.024399315772895495
-987000,24,0.024358115216521477
-986000,24,0.02425387436872195
-985000,24,0.024210657883042844
-984000,24,0.02431948865294695
-983000,24,0.024615251063845062
-982000,25,0.025068081222662814
-981000,25,0.025591331060475668
-980000,26,0.026064106942591793
-979000,26,0.026362788880654495
-978000,26,0.026393714729891823
-977000,26,0.02611890973065939
-976000,25,0.025568430591502066
-975000,24,0.02483616206648831
-974000,24,0.024059952670478297
-973000,23,0.023390813633531123
-972000,22,0.02295859173357313
-971000,22,0.022842404134814434
-970000,23,0.02305297637279213
-969000,23,0.02353113321162764
-968000,24,0.02416276323918595
-967000,24,0.024806572626307744
-966000,25,0.025327840992186452
-965000,25,0.025629951215542075
-964000,25,0.025676036985687628
-963000,25,0.0254955357669991
-962000,25,0.025174151313728486
-961000,24,0.02482980814893475
-960000,24,0.02458062133384596
-959000,24,0.024512865478017173
-958000,24,0.024656927001647753
-957000,24,0.024977263132386573
-956000,25,0.025378950227717696
-955000,25,0.02572932565803164
-954000,25,0.02588951084341347
-953000,25,0.025748158909121795
-952000,25,0.02524919820334821
-951000,24,0.024406783799916176
-950000,23,0.02330377147028998
-949000,22,0.022074034066283173
-948000,20,0.020872869283025217
-947000,19,0.019842639485787808
-946000,19,0.019081931653041603
-945000,18,0.018625648402057368
-944000,18,0.01844075488286138
-943000,18,0.01843856912922788
-942000,18,0.018500434900074213
-941000,18,0.018510347301786988
-940000,18,0.018386412563459967
-939000,18,0.01810332723632285
-938000,17,0.017700283686119915
-937000,17,0.01727230323011551
-936000,16,0.016947084557329562
-935000,16,0.016853031571550568
-934000,17,0.01708631468186115
-933000,17,0.017685085490487362
-932000,18,0.018617240541430196
-931000,19,0.019784836403253
-930000,21,0.02104420127238088
-929000,22,0.02223696005041023
-928000,23,0.02322452718474451
-927000,23,0.023917776026514737
-926000,24,0.024294771948163874
-925000,24,0.024402370554635216
-924000,24,0.024341418891291794
-923000,24,0.024239293352142713
-922000,24,0.024216585470252523
-921000,24,0.024356153376690313
-920000,24,0.024682149109194668
-919000,25,0.02515416003553743
-918000,25,0.025677872816760126
-917000,26,0.026129594936528593
-916000,26,0.026388550291435792
-915000,26,0.026368939667840652
-914000,26,0.02604379647555363
-913000,25,0.025454663893083183
-912000,24,0.024704583471980693
-911000,23,0.02393596945233797
-910000,23,0.02329864765449164
-909000,22,0.022915755633027782
-908000,22,0.02285573943233879
-907000,23,0.0231172092676329
-906000,23,0.02363029161180258
-905000,24,0.024274102609114754
-904000,24,0.024906048802446755
-903000,25,0.025395794198355092
-902000,25,0.025655618464888615
-901000,25,0.02565980121280301
-900000,25,0.025448377930742793
-899000,25,0.0251144596021435
-898000,24,0.024778347756080378
-897000,24,0.02455491999002145
-896000,24,0.024522413347643747
-895000,24,0.024700389581191216
-894000,25,0.02504241136775318
-893000,25,0.02544534433589638
-892000,25,0.0257731116623263
-891000,25,0.025889167613795252
-890000,25,0.02568979630756183
-889000,25,0.02513011201871989
-888000,24,0.024236394981417216
-887000,23,0.023101712653179587
-886000,21,0.021865840137021378
-885000,20,0.020684311085236006
-884000,19,0.019694068314094485
-883000,18,0.018983996626704407
-882000,18,0.018577410632527082
-881000,18,0.018430634430423747
-880000,18,0.018447867073250936
-879000,18,0.018508543266731434
-878000,18,0.018500348213119362
-877000,18,0.018349675441325455
-876000,18,0.018041961762120688
-875000,17,0.01762683541268001
-874000,17,0.017206758536303553
-873000,16,0.0169119154080107
-872000,16,0.016867495585471085
-871000,17,0.017161413363128975
-870000,17,0.01782042707869044
-869000,18,0.018800591888307516
-868000,19,0.01999449354909117
-867000,21,0.021253621133742927
-866000,22,0.0224205439977484
-865000,23,0.02336316626787854
-864000,24,0.024002825964643128
-863000,24,0.024329509453514555
-862000,24,0.024400597264759256
-861000,24,0.02432357472289368
-860000,24,0.02422704728184525
-859000,24,0.024227240322262873
-858000,24,0.02439824208276684
-857000,24,0.02475330327861066
-856000,25,0.025241770352898582
-855000,25,0.025762372402640503
-854000,26,0.026189550092783356
-853000,26,0.026406296526970713
-852000,26,0.02633536404552142
-851000,25,0.02596107377567958
-850000,25,0.02533625340598219
-849000,24,0.024572463225381768
-848000,23,0.02381576133583118
-847000,23,0.023213804540152733
-846000,22,0.022882213419402397
